millis,stamp,datetime,moisture
214999, 1534067309, 2018/8/12 9:48:29, 491
217000, 1534067311, 2018/8/12 9:48:31, 490
218999, 1534067313, 2018/8/12 9:48:33, 490
220998, 1534067315, 2018/8/12 9:48:35, 490
222999, 1534067317, 2018/8/12 9:48:37, 491
224999, 1534067319, 2018/8/12 9:48:39, 491
226999, 1534067321, 2018/8/12 9:48:41, 491
228999, 1534067323, 2018/8/12 9:48:43, 490
230999, 1534067325, 2018/8/12 9:48:45, 490
232999, 1534067327, 2018/8/12 9:48:47, 491
234999, 1534067329, 2018/8/12 9:48:49, 489
237000, 1534067331, 2018/8/12 9:48:51, 490
238999, 1534067333, 2018/8/12 9:48:53, 492
240999, 1534067335, 2018/8/12 9:48:55, 488
242999, 1534067337, 2018/8/12 9:48:57, 489
244999, 1534067339, 2018/8/12 9:48:59, 488
246999, 1534067341, 2018/8/12 9:49:1, 491
248999, 1534067343, 2018/8/12 9:49:3, 490
250999, 1534067345, 2018/8/12 9:49:5, 489
252999, 1534067347, 2018/8/12 9:49:7, 489
254999, 1534067349, 2018/8/12 9:49:9, 490
256999, 1534067351, 2018/8/12 9:49:11, 492
258999, 1534067353, 2018/8/12 9:49:13, 489
260999, 1534067355, 2018/8/12 9:49:15, 489
262999, 1534067357, 2018/8/12 9:49:17, 489
264999, 1534067359, 2018/8/12 9:49:19, 489
267000, 1534067361, 2018/8/12 9:49:21, 522
268999, 1534067363, 2018/8/12 9:49:23, 521
270999, 1534067365, 2018/8/12 9:49:25, 519
272999, 1534067367, 2018/8/12 9:49:27, 522
274999, 1534067369, 2018/8/12 9:49:29, 520
276999, 1534067371, 2018/8/12 9:49:31, 520
278999, 1534067373, 2018/8/12 9:49:33, 520
280999, 1534067375, 2018/8/12 9:49:35, 520
282999, 1534067377, 2018/8/12 9:49:37, 519
284999, 1534067379, 2018/8/12 9:49:39, 519
286999, 1534067381, 2018/8/12 9:49:41, 520
288999, 1534067383, 2018/8/12 9:49:43, 519
290999, 1534067385, 2018/8/12 9:49:45, 520
292999, 1534067387, 2018/8/12 9:49:47, 520
294999, 1534067389, 2018/8/12 9:49:49, 520
296999, 1534067391, 2018/8/12 9:49:51, 520
298999, 1534067393, 2018/8/12 9:49:53, 518
300999, 1534067395, 2018/8/12 9:49:55, 519
302999, 1534067397, 2018/8/12 9:49:57, 518
304999, 1534067399, 2018/8/12 9:49:59, 519
306999, 1534067401, 2018/8/12 9:50:1, 520
308999, 1534067403, 2018/8/12 9:50:3, 520
310999, 1534067405, 2018/8/12 9:50:5, 520
312999, 1534067407, 2018/8/12 9:50:7, 519
314999, 1534067409, 2018/8/12 9:50:9, 518
316999, 1534067411, 2018/8/12 9:50:11, 518
318999, 1534067413, 2018/8/12 9:50:13, 518
320999, 1534067415, 2018/8/12 9:50:15, 517
322999, 1534067417, 2018/8/12 9:50:17, 516
324999, 1534067419, 2018/8/12 9:50:19, 517
326999, 1534067421, 2018/8/12 9:50:21, 517
328999, 1534067423, 2018/8/12 9:50:23, 516
330999, 1534067425, 2018/8/12 9:50:25, 516
332999, 1534067427, 2018/8/12 9:50:27, 517
334999, 1534067429, 2018/8/12 9:50:29, 517
336999, 1534067431, 2018/8/12 9:50:31, 517
338999, 1534067433, 2018/8/12 9:50:33, 516
340999, 1534067435, 2018/8/12 9:50:35, 517
342999, 1534067437, 2018/8/12 9:50:37, 515
344999, 1534067439, 2018/8/12 9:50:39, 515
346999, 1534067441, 2018/8/12 9:50:41, 515
348999, 1534067443, 2018/8/12 9:50:43, 514
350999, 1534067445, 2018/8/12 9:50:45, 515
352999, 1534067447, 2018/8/12 9:50:47, 514
355000, 1534067449, 2018/8/12 9:50:49, 514
356999, 1534067451, 2018/8/12 9:50:51, 514
358999, 1534067453, 2018/8/12 9:50:53, 515
360999, 1534067455, 2018/8/12 9:50:55, 515
362999, 1534067457, 2018/8/12 9:50:57, 514
364999, 1534067459, 2018/8/12 9:50:59, 515
366999, 1534067461, 2018/8/12 9:51:1, 516
368999, 1534067463, 2018/8/12 9:51:3, 515
370999, 1534067465, 2018/8/12 9:51:5, 507
372999, 1534067467, 2018/8/12 9:51:7, 514
374999, 1534067469, 2018/8/12 9:51:9, 514
376999, 1534067471, 2018/8/12 9:51:11, 513
378999, 1534067473, 2018/8/12 9:51:13, 514
380999, 1534067475, 2018/8/12 9:51:15, 512
382999, 1534067477, 2018/8/12 9:51:17, 513
384999, 1534067479, 2018/8/12 9:51:19, 514
386999, 1534067481, 2018/8/12 9:51:21, 514
388999, 1534067483, 2018/8/12 9:51:23, 513
390999, 1534067485, 2018/8/12 9:51:25, 514
392999, 1534067487, 2018/8/12 9:51:27, 514
394999, 1534067489, 2018/8/12 9:51:29, 514
396999, 1534067491, 2018/8/12 9:51:31, 512
398999, 1534067493, 2018/8/12 9:51:33, 513
400999, 1534067495, 2018/8/12 9:51:35, 513
402999, 1534067497, 2018/8/12 9:51:37, 513
404999, 1534067499, 2018/8/12 9:51:39, 513
407000, 1534067501, 2018/8/12 9:51:41, 513
408999, 1534067503, 2018/8/12 9:51:43, 512
410999, 1534067505, 2018/8/12 9:51:45, 513
412999, 1534067507, 2018/8/12 9:51:47, 513
414999, 1534067509, 2018/8/12 9:51:49, 513
416999, 1534067511, 2018/8/12 9:51:51, 515
418999, 1534067513, 2018/8/12 9:51:53, 513
420999, 1534067515, 2018/8/12 9:51:55, 514
422999, 1534067517, 2018/8/12 9:51:57, 512
424999, 1534067519, 2018/8/12 9:51:59, 512
426999, 1534067521, 2018/8/12 9:52:1, 513
428999, 1534067523, 2018/8/12 9:52:3, 512
430999, 1534067525, 2018/8/12 9:52:5, 513
432999, 1534067527, 2018/8/12 9:52:7, 511
434999, 1534067529, 2018/8/12 9:52:9, 513
436999, 1534067531, 2018/8/12 9:52:11, 513
438999, 1534067533, 2018/8/12 9:52:13, 512
440999, 1534067535, 2018/8/12 9:52:15, 512
442999, 1534067537, 2018/8/12 9:52:17, 511
444999, 1534067539, 2018/8/12 9:52:19, 512
446999, 1534067541, 2018/8/12 9:52:21, 511
448999, 1534067543, 2018/8/12 9:52:23, 511
450999, 1534067545, 2018/8/12 9:52:25, 510
452999, 1534067547, 2018/8/12 9:52:27, 511
454999, 1534067549, 2018/8/12 9:52:29, 512
456999, 1534067551, 2018/8/12 9:52:31, 510
458999, 1534067553, 2018/8/12 9:52:33, 510
460999, 1534067555, 2018/8/12 9:52:35, 512
462999, 1534067557, 2018/8/12 9:52:37, 512
464999, 1534067559, 2018/8/12 9:52:39, 511
466999, 1534067561, 2018/8/12 9:52:41, 511
468999, 1534067563, 2018/8/12 9:52:43, 513
470999, 1534067565, 2018/8/12 9:52:45, 511
472999, 1534067567, 2018/8/12 9:52:47, 510
474999, 1534067569, 2018/8/12 9:52:49, 510
476999, 1534067571, 2018/8/12 9:52:51, 510
478999, 1534067573, 2018/8/12 9:52:53, 510
480999, 1534067575, 2018/8/12 9:52:55, 512
482999, 1534067577, 2018/8/12 9:52:57, 511
484999, 1534067579, 2018/8/12 9:52:59, 510
486999, 1534067581, 2018/8/12 9:53:1, 511
488999, 1534067583, 2018/8/12 9:53:3, 510
490999, 1534067585, 2018/8/12 9:53:5, 511
492999, 1534067587, 2018/8/12 9:53:7, 509
